3,1,2025-06-27,2025-07-04,2025-06-27,false,0
4,2,2025-06-27,2025-07-04,2025-06-27,false,0
4,5,2025-06-27,2025-07-04,2025-06-27,false,0
1,12,2025-06-07,2025-06-21,2025-06-28,true,1050
1,15,2025-06-07,2025-06-21,2025-06-28,true,1050
4,10,2025-06-28,2025-07-12,2025-06-28,false,0
3,3,2025-06-28,2025-07-05,2025-06-28,false,0
1,1,2025-06-28,2025-07-05,2025-06-28,false,0
6,5,2025-06-28,2025-07-05,2025-06-28,false,0
7,5,2025-06-28,2025-07-05,2025-06-28,false,0
6,1,2025-06-28,2025-07-05,2025-06-28,false,0
7,1,2025-06-28,2025-07-05,2025-07-06,true,100
1,5,2025-06-28,2025-07-05,2025-07-08,true,360
5,11,2025-06-29,2025-07-13,,,
7,14,2025-06-29,2025-07-13,,,
1,2,2025-07-07,2025-07-14,2025-07-08,false,0
